PORT,STATE,SERVICE,BANNER

Summary
Open ports: 6
Closed ports: 1018
Filtered ports: 0
ULL
228,CLOSED,---,NULL
231,CLOSED,---,NULL
230,CLOSED,---,NULL
233,CLOSED,---,NULL
232,CLOSED,---,NULL
234,CLOSED,---,NULL
235,CLOSED,---,NULL
237,CLOSED,---,NULL
236,CLOSED,---,NULL
238,CLOSED,---,NULL
239,CLOSED,---,NULL
240,CLOSED,---,NULL
242,CLOSED,---,NULL
246,CLOSED,---,NULL
247,CLOSED,---,NULL
250,CLOSED,---,NULL
241,CLOSED,---,NULL
243,CLOSED,---,NULL
252,CLOSED,---,NULL
244,CLOSED,---,NULL
255,CLOSED,---,NULL
256,CLOSED,---,NULL
245,CLOSED,---,NULL
248,CLOSED,---,NULL
249,CLOSED,---,NULL
251,CLOSED,---,NULL
253,CLOSED,---,NULL
258,CLOSED,---,NULL
254,CLOSED,---,NULL
257,CLOSED,---,NULL
262,CLOSED,---,NULL
268,CLOSED,---,NULL
270,CLOSED,---,NULL
271,CLOSED,---,NULL
259,CLOSED,---,NULL
273,CLOSED,---,NULL
260,CLOSED,---,NULL
261,CLOSED,---,NULL
263,CLOSED,---,NULL
264,CLOSED,---,NULL
265,CLOSED,---,NULL
266,CLOSED,---,NULL
267,CLOSED,---,NULL
269,CLOSED,---,NULL
272,CLOSED,---,NULL
275,CLOSED,---,NULL
276,CLOSED,---,NULL
277,CLOSED,---,NULL
274,CLOSED,---,NULL
279,CLOSED,---,NULL
280,CLOSED,---,NULL
283,CLOSED,---,NULL
284,CLOSED,---,NULL
285,CLOSED,---,NULL
288,CLOSED,---,NULL
289,CLOSED,---,NULL
290,CLOSED,---,NULL
291,CLOSED,---,NULL
294,CLOSED,---,NULL
295,CLOSED,---,NULL
278,CLOSED,---,NULL
281,CLOSED,---,NULL
282,CLOSED,---,NULL
286,CLOSED,---,NULL
287,CLOSED,---,NULL
292,CLOSED,---,NULL
293,CLOSED,---,NULL
296,CLOSED,---,NULL
297,CLOSED,---,NULL
302,CLOSED,---,NULL
298,CLOSED,---,NULL
306,CLOSED,---,NULL
299,CLOSED,---,NULL
307,CLOSED,---,NULL
300,CLOSED,---,NULL
301,CLOSED,---,NULL
308,CLOSED,---,NULL
303,CLOSED,---,NULL
313,CLOSED,---,NULL
304,CLOSED,---,NULL
305,CLOSED,---,NULL
309,CLOSED,---,NULL
310,CLOSED,---,NULL
314,CLOSED,---,NULL
315,CLOSED,---,NULL
311,CLOSED,---,NULL
312,CLOSED,---,NULL
316,CLOSED,---,NULL
320,CLOSED,---,NULL
321,CLOSED,---,NULL
323,CLOSED,---,NULL
317,CLOSED,---,NULL
326,CLOSED,---,NULL
318,CLOSED,---,NULL
319,CLOSED,---,NULL
322,CLOSED,---,NULL
324,CLOSED,---,NULL
325,CLOSED,---,NULL
327,CLOSED,---,NULL
330,CLOSED,---,NULL
332,CLOSED,---,NULL
328,CLOSED,---,NULL
329,CLOSED,---,NULL
331,CLOSED,---,NULL
333,CLOSED,---,NULL
335,CLOSED,---,NULL
336,CLOSED,---,NULL
334,CLOSED,---,NULL
337,CLOSED,---,NULL
338,CLOSED,---,NULL
339,CLOSED,---,NULL
340,CLOSED,---,NULL
342,CLOSED,---,NULL
