PORT,STATE,SERVICE,BANNER

Summary
Open ports: 6
Closed ports: 1018
Filtered ports: 0
ULL
977,CLOSED,---,NULL
982,CLOSED,---,NULL
987,CLOSED,---,NULL
986,CLOSED,---,NULL
988,CLOSED,---,NULL
989,CLOSED,---,NULL
990,CLOSED,---,NULL
991,CLOSED,---,NULL
992,CLOSED,---,NULL
996,CLOSED,---,NULL
997,CLOSED,---,NULL
998,CLOSED,---,NULL
993,CLOSED,IMAPS,NULL
994,CLOSED,---,NULL
1000,CLOSED,---,NULL
1001,CLOSED,---,NULL
1002,CLOSED,---,NULL
1009,CLOSED,---,NULL
995,CLOSED,---,NULL
1013,CLOSED,---,NULL
999,CLOSED,---,NULL
1003,CLOSED,---,NULL
1004,CLOSED,---,NULL
1005,CLOSED,---,NULL
1006,CLOSED,---,NULL
1007,CLOSED,---,NULL
1008,CLOSED,---,NULL
1010,CLOSED,---,NULL
1011,CLOSED,---,NULL
1012,CLOSED,---,NULL
1016,CLOSED,---,NULL
1014,CLOSED,---,NULL
1015,CLOSED,---,NULL
1018,CLOSED,---,NULL
1017,CLOSED,---,NULL
1019,CLOSED,---,NULL
1020,CLOSED,---,NULL
1021,CLOSED,---,NULL
1022,CLOSED,---,NULL
1024,CLOSED,---,NULL
1023,CLOSED,---,NULL
